timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2020-07-01T00:00:00.000Z";"2020-07-31T23:59:59.999Z";"2020-07-31T16:16:01.000Z";"2020-07-05T21:22:17.000Z";222.566733694;304.597869706;217.692731323;300.504513567;1905797789.35;5552502657.77;"2020-07-31T23:59:59.999Z"
"2020-06-01T00:00:00.000Z";"2020-06-30T23:59:59.999Z";"2020-06-02T10:59:05.000Z";"2020-06-27T19:58:06.000Z";239.847227999;266.468321636;214.19370947;221.991689288;1035300968.56;4095641221.31;"2020-06-30T23:59:59.999Z"
"2020-05-01T00:00:00.000Z";"2020-05-31T23:59:59.999Z";"2020-05-09T16:18:01.000Z";"2020-05-11T18:24:01.000Z";249.936188098;274.464169188;221.535375523;239.877023582;3391410579.95;4419143462.33;"2020-05-31T23:59:59.999Z"
"2020-04-01T00:00:00.000Z";"2020-04-30T23:59:59.999Z";"2020-04-08T10:10:05.000Z";"2020-04-16T00:32:05.000Z";219.263894762;277.651385584;209.521663649;249.842958458;5464514304.83;4595776898.84;"2020-04-30T23:59:59.999Z"
"2020-03-01T00:00:00.000Z";"2020-03-31T23:59:59.999Z";"2020-03-06T11:59:02.000Z";"2020-03-13T02:24:01.000Z";308.260512188;351.495833144;139.216638184;219.627597016;2933494164.35;4032631725.02;"2020-03-31T23:59:59.999Z"
"2020-02-01T00:00:00.000Z";"2020-02-29T23:59:59.999Z";"2020-02-14T10:42:03.000Z";"2020-02-28T12:42:04.000Z";375.066584298;493.028092204;301.705033756;308.326218062;3835560260.53;5644119541.82;"2020-02-29T23:59:59.999Z"
"2020-01-01T00:00:00.000Z";"2020-01-31T23:59:59.999Z";"2020-01-18T01:03:01.000Z";"2020-01-03T02:05:01.000Z";204.671292625;398.892738331;192.979485749;375.389566292;3667538280.4;6852328296.51;"2020-01-31T23:59:59.999Z"
"2019-12-01T00:00:00.000Z";"2019-12-31T23:59:59.999Z";"2019-12-05T12:22:02.000Z";"2019-12-18T13:16:01.000Z";218.98874812;221.656450571;172.947326635;204.623174793;1713535482.89;3723637896.66;"2019-12-31T23:59:59.999Z"
"2019-11-01T00:00:00.000Z";"2019-11-30T23:59:59.999Z";"2019-11-06T23:42:06.000Z";"2019-11-25T06:00:03.000Z";284.489496639;307.362718631;194.761310501;218.907872485;1309092626.92;3971434831.67;"2019-11-30T23:59:59.999Z"
"2019-10-01T00:00:00.000Z";"2019-10-31T23:59:59.999Z";"2019-10-30T01:53:01.000Z";"2019-10-23T16:05:02.000Z";228.261995098;303.614343725;203.071879579;284.476652523;2933178099.84;5145642138.5;"2019-10-31T23:59:59.999Z"
